Airfare,GroupTravel,NoTransport,PleasureTrip,Destination2,Destination3,Destination4,DepartureTime2,DepartureTime3,DepartureTime4,Income2,Income3,Income4,Income5,Income6,Income7,Income8,airline
45.21,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,4
32.5,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,4
50,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,4
40,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4
60,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
40,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
50,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2
100,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
40,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4
52.93,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2
55.25,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4
77,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4
48.05,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
40,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
45.54,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
33.48,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
40,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,4
38,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,4
40,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,4
60,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
40,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2
33,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
33,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4
48.05,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
40,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
